2026-08-14T07:35:41.191+02:00  INFO 52273 --- [gold-business] [org.springframework.kafka.KafkaListenerEndpointContainer#3-0-C-1] org.apache.kafka.clients.NetworkClient   : [Consumer clientId=consumer-dlq-consumer-group-10, groupId=dlq-consumer-group] Node -1 disconnected.
2026-08-14T07:35:41.191+02:00  WARN 52273 --- [gold-business] [org.springframework.kafka.KafkaListenerEndpointContainer#3-0-C-1] org.apache.kafka.clients.NetworkClient   : [Consumer clientId=consumer-dlq-consumer-group-10, groupId=dlq-consumer-group] Connection to node -1 (localhost/127.0.0.1:9092) could not be established. Node may not be available.
2026-08-14T07:35:41.191+02:00  WARN 52273 --- [gold-business] [org.springframework.kafka.KafkaListenerEndpointContainer#3-0-C-1] org.apache.kafka.clients.NetworkClient   : [Consumer clientId=consumer-dlq-consumer-group-10, groupId=dlq-consumer-group] Bootstrap broker localhost:9092 (id: -1 rack: null) disconnected
2026-08-14T07:35:41.195+02:00  INFO 52273 --- [gold-business] [org.springframework.kafka.KafkaListenerEndpointContainer#9-0-C-1] org.apache.kafka.clients.NetworkClient   : [Consumer clientId=consumer-payment-callback-consumer-8, groupId=payment-callback-consumer] Node -1 disconnected.
2026-08-14T07:35:41.195+02:00  WARN 52273 --- [gold-business] [org.springframework.kafka.KafkaListenerEndpointContainer#9-0-C-1] org.apache.kafka.clients.NetworkClient   : [Consumer clientId=consumer-payment-callback-consumer-8, groupId=payment-callback-consumer] Connection to node -1 (localhost/127.0.0.1:9092) could not be established. Node may not be available.
2026-08-14T07:35:41.195+02:00  WARN 52273 --- [gold-business] [org.springframework.kafka.KafkaListenerEndpointContainer#9-0-C-1] org.apache.kafka.clients.NetworkClient   : [Consumer clientId=consumer-payment-callback-consumer-8, groupId=payment-callback-consumer] Bootstrap broker localhost:9092 (id: -1 rack: null) disconnected
2026-08-14T07:35:41.375+02:00  INFO 52273 --- [gold-business] [org.springframework.kafka.KafkaListenerEndpointContainer#0-0-C-1] org.apache.kafka.clients.NetworkClient   : [Consumer clientId=consumer-dlq-consumer-group-17, groupId=dlq-consumer-group] Node -1 disconnected.
2026-08-14T07:35:41.375+02:00  WARN 52273 --- [gold-business] [org.springframework.kafka.KafkaListenerEndpointContainer#0-0-C-1] org.apache.kafka.clients.NetworkClient   : [Consumer clientId=consumer-dlq-consumer-group-17, groupId=dlq-consumer-group] Connection to node -1 (localhost/127.0.0.1:9092) could not be established. Node may not be available.
2026-08-14T07:35:41.375+02:00  WARN 52273 --- [gold-business] [org.springframework.kafka.KafkaListenerEndpointContainer#0-0-C-1] org.apache.kafka.clients.NetworkClient   : [Consumer clientId=consumer-dlq-consumer-group-17, groupId=dlq-consumer-group] Bootstrap broker localhost:9092 (id: -1 rack: null) disconnected
2026-08-14T07:35:41.423+02:00  INFO 52273 --- [gold-business] [org.springframework.kafka.KafkaListenerEndpointContainer#2-0-C-1] org.apache.kafka.clients.NetworkClient   : [Consumer clientId=consumer-dlq-consumer-group-9, groupId=dlq-consumer-group] Node -1 disconnected.
2026-08-14T07:35:41.423+02:00  WARN 52273 --- [gold-business] [org.springframework.kafka.KafkaListenerEndpointContainer#2-0-C-1] org.apache.kafka.clients.NetworkClient   : [Consumer clientId=consumer-dlq-consumer-group-9, groupId=dlq-consumer-group] Connection to node -1 (localhost/127.0.0.1:9092) could not be established. Node may not be available.
2026-08-14T07:35:41.423+02:00  WARN 52273 --- [gold-business] [org.springframework.kafka.KafkaListenerEndpointContainer#2-0-C-1] org.apache.kafka.clients.NetworkClient   : [Consumer clientId=consumer-dlq-consumer-group-9, groupId=dlq-consumer-group] Bootstrap broker localhost:9092 (id: -1 rack: null) disconnected
2026-08-14T07:35:41.671+02:00  INFO 52273 --- [gold-business] [org.springframework.kafka.KafkaListenerEndpointContainer#1-0-C-1] org.apache.kafka.clients.NetworkClient   : [Consumer clientId=consumer-dlq-consumer-group-18, groupId=dlq-consumer-group] Node -1 disconnected.
2026-08-14T07:35:41.671+02:00  WARN 52273 --- [gold-business] [org.springframework.kafka.KafkaListenerEndpointContainer#1-0-C-1] org.apache.kafka.clients.NetworkClient   : [Consumer clientId=consumer-dlq-consumer-group-18, groupId=dlq-consumer-group] Connection to node -1 (localhost/127.0.0.1:9092) could not be established. Node may not be available.
2026-08-14T07:35:41.671+02:00  WARN 52273 --- [gold-business] [org.springframework.kafka.KafkaListenerEndpointContainer#1-0-C-1] org.apache.kafka.clients.NetworkClient   : [Consumer clientId=consumer-dlq-consumer-group-18, groupId=dlq-consumer-group] Bootstrap broker localhost:9092 (id: -1 rack: null) disconnected
2026-08-14T07:35:41.714+02:00  INFO 52273 --- [gold-business] [org.springframework.kafka.KafkaListenerEndpointContainer#13-0-C-1] org.apache.kafka.clients.NetworkClient   : [Consumer clientId=consumer-strictMatches-group-20, groupId=strictMatches-group] Node -1 disconnected.
2026-08-14T07:35:41.714+02:00  WARN 52273 --- [gold-business] [org.springframework.kafka.KafkaListenerEndpointContainer#13-0-C-1] org.apache.kafka.clients.NetworkClient   : [Consumer clientId=consumer-strictMatches-group-20, groupId=strictMatches-group] Connection to node -1 (localhost/127.0.0.1:9092) could not be established. Node may not be available.
2026-08-14T07:35:41.714+02:00  WARN 52273 --- [gold-business] [org.springframework.kafka.KafkaListenerEndpointContainer#13-0-C-1] org.apache.kafka.clients.NetworkClient   : [Consumer clientId=consumer-strictMatches-group-20, groupId=strictMatches-group] Bootstrap broker localhost:9092 (id: -1 rack: null) disconnected
2026-08-14T07:35:41.715+02:00  INFO 52273 --- [gold-business] [org.springframework.kafka.KafkaListenerEndpointContainer#10-0-C-1] org.apache.kafka.clients.NetworkClient   : [Consumer clientId=consumer-payment-callback-consumer-19, groupId=payment-callback-consumer] Node -1 disconnected.
2026-08-14T07:35:41.715+02:00  WARN 52273 --- [gold-business] [org.springframework.kafka.KafkaListenerEndpointContainer#10-0-C-1] org.apache.kafka.clients.NetworkClient   : [Consumer clientId=consumer-payment-callback-consumer-19, groupId=payment-callback-consumer] Connection to node -1 (localhost/127.0.0.1:9092) could not be established. Node may not be available.
2026-08-14T07:35:41.715+02:00  WARN 52273 --- [gold-business] [org.springframework.kafka.KafkaListenerEndpointContainer#10-0-C-1] org.apache.kafka.clients.NetworkClient   : [Consumer clientId=consumer-payment-callback-consumer-19, groupId=payment-callback-consumer] Bootstrap broker localhost:9092 (id: -1 rack: null) disconnected
2026-08-14T07:35:41.726+02:00  INFO 52273 --- [gold-business] [org.springframework.kafka.KafkaListenerEndpointContainer#14-0-C-1] org.apache.kafka.clients.NetworkClient   : [Consumer clientId=consumer-notification-service-21, groupId=notification-service] Node -1 disconnected.
2026-08-14T07:35:41.726+02:00  WARN 52273 --- [gold-business] [org.springframework.kafka.KafkaListenerEndpointContainer#14-0-C-1] org.apache.kafka.clients.NetworkClient   : [Consumer clientId=consumer-notification-service-21, groupId=notification-service] Connection to node -1 (localhost/127.0.0.1:9092) could not be established. Node may not be available.
2026-08-14T07:35:41.726+02:00  WARN 52273 --- [gold-business] [org.springframework.kafka.KafkaListenerEndpointContainer#14-0-C-1] org.apache.kafka.clients.NetworkClient   : [Consumer clientId=consumer-notification-service-21, groupId=notification-service] Bootstrap broker localhost:9092 (id: -1 rack: null) disconnected
2026-08-14T07:35:41.912+02:00  INFO 52273 --- [gold-business] [org.springframework.kafka.KafkaListenerEndpointContainer#4-0-C-1] org.apache.kafka.clients.NetworkClient   : [Consumer clientId=consumer-dlq-consumer-group-11, groupId=dlq-consumer-group] Node -1 disconnected.
2026-08-14T07:35:41.912+02:00  WARN 52273 --- [gold-business] [org.springframework.kafka.KafkaListenerEndpointContainer#4-0-C-1] org.apache.kafka.clients.NetworkClient   : [Consumer clientId=consumer-dlq-consumer-group-11, groupId=dlq-consumer-group] Connection to node -1 (localhost/127.0.0.1:9092) could not be established. Node may not be available.
2026-08-14T07:35:41.912+02:00  WARN 52273 --- [gold-business] [org.springframework.kafka.KafkaListenerEndpointContainer#4-0-C-1] org.apache.kafka.clients.NetworkClient   : [Consumer clientId=consumer-dlq-consumer-group-11, groupId=dlq-consumer-group] Bootstrap broker localhost:9092 (id: -1 rack: null) disconnected
2026-08-14T07:35:41.954+02:00  INFO 52273 --- [gold-business] [org.springframework.kafka.KafkaListenerEndpointContainer#8-0-C-1] org.apache.kafka.clients.NetworkClient   : [Consumer clientId=consumer-payment-callback-consumer-7, groupId=payment-callback-consumer] Node -1 disconnected.
2026-08-14T07:35:41.954+02:00  WARN 52273 --- [gold-business] [org.springframework.kafka.KafkaListenerEndpointContainer#8-0-C-1] org.apache.kafka.clients.NetworkClient   : [Consumer clientId=consumer-payment-callback-consumer-7, groupId=payment-callback-consumer] Connection to node -1 (localhost/127.0.0.1:9092) could not be established. Node may not be available.
2026-08-14T07:35:41.954+02:00  WARN 52273 --- [gold-business] [org.springframework.kafka.KafkaListenerEndpointContainer#8-0-C-1] org.apache.kafka.clients.NetworkClient   : [Consumer clientId=consumer-payment-callback-consumer-7, groupId=payment-callback-consumer] Bootstrap broker localhost:9092 (id: -1 rack: null) disconnected
2026-08-14T07:35:42.046+02:00  INFO 52273 --- [gold-business] [org.springframework.kafka.KafkaListenerEndpointContainer#12-0-C-1] org.apache.kafka.clients.NetworkClient   : [Consumer clientId=consumer-gb-16, groupId=gb] Node -1 disconnected.
2026-08-14T07:35:42.046+02:00  WARN 52273 --- [gold-business] [org.springframework.kafka.KafkaListenerEndpointContainer#12-0-C-1] org.apache.kafka.clients.NetworkClient   : [Consumer clientId=consumer-gb-16, groupId=gb] Connection to node -1 (localhost/127.0.0.1:9092) could not be established. Node may not be available.
2026-08-14T07:35:42.046+02:00  WARN 52273 --- [gold-business] [org.springframework.kafka.KafkaListenerEndpointContainer#12-0-C-1] org.apache.kafka.clients.NetworkClient   : [Consumer clientId=consumer-gb-16, groupId=gb] Bootstrap broker localhost:9092 (id: -1 rack: null) disconnected
2026-08-14T07:35:42.053+02:00  INFO 52273 --- [gold-business] [org.springframework.kafka.KafkaListenerEndpointContainer#11-0-C-1] org.apache.kafka.clients.NetworkClient   : [Consumer clientId=consumer-auto-purchase-group-15, groupId=auto-purchase-group] Node -1 disconnected.
2026-08-14T07:35:42.054+02:00  WARN 52273 --- [gold-business] [org.springframework.kafka.KafkaListenerEndpointContainer#11-0-C-1] org.apache.kafka.clients.NetworkClient   : [Consumer clientId=consumer-auto-purchase-group-15, groupId=auto-purchase-group] Connection to node -1 (localhost/127.0.0.1:9092) could not be established. Node may not be available.
2026-08-14T07:35:42.054+02:00  WARN 52273 --- [gold-business] [org.springframework.kafka.KafkaListenerEndpointContainer#11-0-C-1] org.apache.kafka.clients.NetworkClient   : [Consumer clientId=consumer-auto-purchase-group-15, groupId=auto-purchase-group] Bootstrap broker localhost:9092 (id: -1 rack: null) disconnected
2026-08-14T07:35:42.192+02:00  INFO 52273 --- [gold-business] [org.springframework.kafka.KafkaListenerEndpointContainer#3-0-C-1] org.apache.kafka.clients.NetworkClient   : [Consumer clientId=consumer-dlq-consumer-group-10, groupId=dlq-consumer-group] Node -1 disconnected.
2026-08-14T07:35:42.193+02:00  WARN 52273 --- [gold-business] [org.springframework.kafka.KafkaListenerEndpointContainer#3-0-C-1] org.apache.kafka.clients.NetworkClient   : [Consumer clientId=consumer-dlq-consumer-group-10, groupId=dlq-consumer-group] Connection to node -1 (localhost/127.0.0.1:9092) could not be established. Node may not be available.
2026-08-14T07:35:42.193+02:00  WARN 52273 --- [gold-business] [org.springframework.kafka.KafkaListenerEndpointContainer#3-0-C-1] org.apache.kafka.clients.NetworkClient   : [Consumer clientId=consumer-dlq-consumer-group-10, groupId=dlq-consumer-group] Bootstrap broker localhost:9092 (id: -1 rack: null) disconnected
2026-08-14T07:35:42.194+02:00  INFO 52273 --- [gold-business] [org.springframework.kafka.KafkaListenerEndpointContainer#9-0-C-1] org.apache.kafka.clients.NetworkClient   : [Consumer clientId=consumer-payment-callback-consumer-8, groupId=payment-callback-consumer] Node -1 disconnected.
2026-08-14T07:35:42.194+02:00  WARN 52273 --- [gold-business] [org.springframework.kafka.KafkaListenerEndpointContainer#9-0-C-1] org.apache.kafka.clients.NetworkClient   : [Consumer clientId=consumer-payment-callback-consumer-8, groupId=payment-callback-consumer] Connection to node -1 (localhost/127.0.0.1:9092) could not be established. Node may not be available.
2026-08-14T07:35:42.194+02:00  WARN 52273 --- [gold-business] [org.springframework.kafka.KafkaListenerEndpointContainer#9-0-C-1] org.apache.kafka.clients.NetworkClient   : [Consumer clientId=consumer-payment-callback-consumer-8, groupId=payment-callback-consumer] Bootstrap broker localhost:9092 (id: -1 rack: null) disconnected
2026-08-14T07:35:42.380+02:00  INFO 52273 --- [gold-business] [org.springframework.kafka.KafkaListenerEndpointContainer#0-0-C-1] org.apache.kafka.clients.NetworkClient   : [Consumer clientId=consumer-dlq-consumer-group-17, groupId=dlq-consumer-group] Node -1 disconnected.
